DATETIME_ID,Date,province,eNodeB,IPTHP_DL,IPTHP_UL
2022062100,21/06/2022,Tp Ho Chi Minh,H01020,9619.45,3317.96
2022072100,21/07/2022,Tp Ho Chi Minh,H01020,9666.09,3533.34
2022042200,22/04/2022,Tp Ho Chi Minh,H01020,10605.77,1103.74
2022052200,22/05/2022,Tp Ho Chi Minh,H01020,28952.79,1393.96
2022062200,22/06/2022,Tp Ho Chi Minh,H01020,8603.88,3999.85
2022072200,22/07/2022,Tp Ho Chi Minh,H01020,9643.83,6005.21
2022042300,23/04/2022,Tp Ho Chi Minh,H01020,22846.56,1300.83
2022052300,23/05/2022,Tp Ho Chi Minh,H01020,10743.89,992.23
2022062300,23/06/2022,Tp Ho Chi Minh,H01020,9408.14,3194.58
2022072300,23/07/2022,Tp Ho Chi Minh,H01020,10016.34,3523.99
2022042400,24/04/2022,Tp Ho Chi Minh,H01020,29213.99,2175.65
2022052400,24/05/2022,Tp Ho Chi Minh,H01020,11558.02,770.15
2022062400,24/06/2022,Tp Ho Chi Minh,H01020,9380.94,3149.51
2022072400,24/07/2022,Tp Ho Chi Minh,H01020,10771.33,4409.79
2022042500,25/04/2022,Tp Ho Chi Minh,H01020,10701.23,1728.23
2022052500,25/05/2022,Tp Ho Chi Minh,H01020,12923.91,912.54
2022062500,25/06/2022,Tp Ho Chi Minh,H01020,8901.66,7134.27
2022072500,25/07/2022,Tp Ho Chi Minh,H01020,10002.27,3626.02
2022042600,26/04/2022,Tp Ho Chi Minh,H01020,10378.79,1308.05
2022052600,26/05/2022,Tp Ho Chi Minh,H01020,9917.38,1130.94
2022062600,26/06/2022,Tp Ho Chi Minh,H01020,8562.7,4496.41
2022072600,26/07/2022,Tp Ho Chi Minh,H01020,10248.25,3769.71
2022042700,27/04/2022,Tp Ho Chi Minh,H01020,13558.38,1756.66
2022052700,27/05/2022,Tp Ho Chi Minh,H01020,12477.17,1041.24
